ID,Name,Description,glosses,count_datasets,count_variables
1017,APPEARANCE,,"{""english"": [""appearance"", ""appearance; look (sb.); sight"", ""look"", ""look (n.)"", ""shape / appearance""], ""chinese"": [""\u5bb9\u8c8c"", ""\u6837\u5b50""], ""french"": [""aspect""]}",33,209
1018,MEMORY,,"{""english"": [""memory""], ""german"": [""ged\u00e4chtnis""], ""russian"": [""\u043f\u0430\u043c\u044f\u0442\u044c""], ""spanish"": [""memoria"", ""recuerdo""], ""french"": [""m\u00e9moire""]}",36,218
102,COMMON COLD (DISEASE),,"{""english"": [""cold"", ""cold (catarrh)"", ""cold (disease)"", ""cold, influenza"", ""cold, phlegm"", ""cold/influenza"", ""common"", ""common cold (disease)"", ""the cold""], ""french"": [""rhume""], ""portuguese"": [""resfriado, gripe""], ""russian"": [""\u043f\u0440\u043e\u0441\u0442\u0443\u0434\u0430""], ""spanish"": [""catarro""]}",33,194
1021,TOWEL,,"{""english"": [""the towel"", ""towel""], ""german"": [""handtuch""], ""russian"": [""\u043f\u043e\u043b\u043e\u0442\u0435\u043d\u0446\u0435""], ""chinese"": [""\u5dfe"", ""\u6bdb\u5dfe""], ""french"": [""serviette""], ""portuguese"": [""toalha""], ""spanish"": [""toalla""]}",42,217
1024,CHARACTER,,"{""english"": [""character"", ""graph"", ""human temper, character""], ""german"": [""buchstabe""], ""russian"": [""\u0431\u0443\u043a\u0432\u0430""], ""chinese"": [""\u5b57""]}",32,206
1028,YAWN,,"{""english"": [""*yawn"", ""gape"", ""to yarwn"", ""to yawn"", ""yawn"", ""yawn  (v.)"", ""yawn (vb.)"", ""yawn, gape""], ""chinese"": [""\u6253\u5475\u6b20"", ""\u6253\u54c8\u6b20""], ""russian"": [""\u0437\u0435\u0432\u0430\u0442\u044c"", ""\u0437\u0463\u0432\u0430\u0442\u044c""], ""german"": [""gaehnen"", ""g\u00e4hnen""], ""french"": [""bailler"", ""b\u00e2iller""], ""portuguese"": [""bocejar""], ""spanish"": [""bostezar""]}",31,157
1029,JEWEL,,"{""english"": [""jewel"", ""jewels"", ""the jewel""], ""french"": [""bijou, joyau""], ""portuguese"": [""j\u00f3ia""], ""russian"": [""\u0434\u0440\u0430\u0433\u043e\u0446\u0435\u043d\u043d\u044b\u0439 \u043a\u0430\u043c\u0435\u043d\u044c, \u044e\u0432\u0435\u043b\u0438\u0440\u043d\u043e\u0435 \u0438\u0437\u0434\u0435\u043b\u0438\u0435""], ""spanish"": [""joya""], ""german"": [""edelsteine""]}",42,243
1030,NECESSARY,,"{""chinese"": [""\u5024\u5f97"", ""\u5fc5\u987b""], ""english"": [""necessary""], ""russian"": [""nu\u017enyj"", ""\u043d\u0435\u043e\u0431\u0445\u043e\u0434\u0438\u043c\u044b\u0439""], ""french"": [""n\u00e9cessaire""], ""spanish"": [""necesario""]}",38,233
1032,CITIZEN,,"{""english"": [""citizen"", ""citizen, subject"", ""the citizen""], ""french"": [""citoyen"", ""citoyen, sujet""], ""portuguese"": [""cidad\u00e3o, s\u00fadito""], ""russian"": [""\u0433\u0440\u0430\u0436\u0434\u0430\u043d\u0438\u043d""], ""spanish"": [""ciudadano, s\u00fabdito""], ""chinese"": [""\u6c11""], ""german"": [""b\u00fcrger""]}",33,205
1033,GRIND,,"{""english"": [""crush / grind (v.)"", ""crush, grind"", ""grind"", ""grind (flour)"", ""grind (grain with a millstone)"", ""grind (vt)"", ""grind (wheat)"", ""grind, crush"", ""grind, pound"", ""pound smooth, grind fine"", ""to crush or to grind"", ""to crush/grind"", ""to grind"", ""to grind, mill"", ""to mill""], ""chinese"": [""\u78e8"", ""\u78e8(~\u9762)"", ""\u78e8(\u78e8\u7c73)"", ""\u78e8(\u7c73)"", ""\u78e8\uff08\u9762\uff09""], ""french"": [""moudre"", ""piler"", ""\u00e9craser, broyer""], ""portuguese"": [""esmagar, moer"", ""pilar""], ""russian"": [""\u0434\u0430\u0432\u0438\u0442\u044c, \u0434\u0440\u043e\u0431\u0438\u0442\u044c""], ""spanish"": [""aplastar, moler"", ""moler""], ""german"": [""mahlen"", ""schleifen""]}",41,229
1034,DEFENDANT,,"{""english"": [""defendant"", ""the defendant""], ""french"": [""accus\u00e9""], ""portuguese"": [""r\u00e9u, acusado""], ""russian"": [""\u043e\u0442\u0432\u0435\u0442\u0447\u0438\u043a""], ""spanish"": [""acusado""]}",27,168
1035,GOOD,,"{""english"": [""(be) good"", ""*good"", ""good"", ""good "", ""good (thing)"", ""good / well"", ""good [in general sense]"", ""good at"", ""good*"", ""good+"", ""good, beautiful"", ""good, it is"", ""good; well- (adv. prefix)"", ""goodadj"", ""to be good"", ""well (adv)""], ""french"": [""(\u00eatre) bon"", ""bien"", ""bien, bon"", ""bon""], ""chinese"": [""\u597d"", ""\u597d (\u4e1c\u897f\u597d)"", ""\u597d(\u4e1c\u897f\u597d)"", ""\u597d(\u4eba)"", ""\u597d*""], ""german"": [""gut"", ""gut (personen)"", ""gut (sachen)""], ""russian"": [""xoro\u0161ij"", ""\u0445\u043e\u0440\u043e\u0448\u0438\u0439"", ""\u0445\u043e\u0440\u043e\u0448\u043e"", ""\u0445\u043e\u0440\u043e\u0448\u043e, \u0434\u043e\u0431\u0440\u043e""], ""spanish"": [""bueno""], ""portuguese"": [""bom"", ""bom / bem""]}",73,394
1036,OWNER,,"{""english"": [""owner""], ""french"": [""propri\u00e9taire""], ""chinese"": [""\u4e3b""], ""spanish"": [""due\u00f1o""]}",35,181
1038,TEACHER,,"{""english"": [""teacher"", ""the teacher""], ""chinese"": [""\u8001\u5e08""], ""german"": [""lehrer"", ""lehrperson""], ""russian"": [""\u043d\u0430\u0441\u0442\u0430\u0432\u043d\u0438\u043a (\u0443\u0447\u0438\u0442\u0435\u043b\u044c)"", ""\u0443\u0447\u0438\u0442\u0435\u043b\u044c""], ""french"": [""enseignant (professeur)"", ""professeur""], ""portuguese"": [""professor""], ""spanish"": [""profesor"", ""profesor, maestro""]}",67,394
1039,SHOW,,"{""english"": [""let s.b. see / show"", ""show"", ""show (v)"", ""show (vb.)"", ""show it (v)"", ""to show"", ""to show (tr.)""], ""chinese"": [""\u770b(\u7ed9~)"", ""\u7ed9\u770b""], ""german"": [""zeigen"", ""\u00fcberhaupt etwas zeigen""], ""russian"": [""\u043f\u043e\u043a\u0430\u0437\u0430\u0442\u044c"", ""\u043f\u043e\u043a\u0430\u0437\u044b\u0432\u0430\u0442\u044c""], ""french"": [""montrer""], ""portuguese"": [""mostrar""], ""spanish"": [""mostrar"", ""mostrar, se\u00f1alar""]}",46,239
1041,INCREASE,,"{""english"": [""increase"", ""increase (intr)"", ""increase (intr.)"", ""increase (v)"", ""increase / gain"", ""increase, make greater"", ""to increase, to put on weight, to grow stronger""], ""chinese"": [""\u589e\u52a0""], ""german"": [""anwachsen"", ""erh\u00f6hen"", ""zunehmen""], ""russian"": [""\u0443\u0432\u0435\u043b\u0438\u0447\u0438\u0442\u044c\u0441\u044f""], ""french"": [""augmenter (intr)""]}",34,193
1043,BRAID,,"{""chinese"": [""\u7f16"", ""\u7f16(\u8fab\u5b50)"", ""\u7f16\uff08\u8fab\u5b50\uff09"", ""\u8fab\u5b50"", ""\u8fab\u5b50 ((\u5973\u4eba\u7684)~)""], ""english"": [""braid"", ""braid / plait (female's) (note:+female)"", ""plait, braid"", ""the plait/braid""], ""french"": [""tresser""], ""portuguese"": [""tran\u00e7a""], ""russian"": [""\u043a\u043e\u0441\u0430""], ""spanish"": [""trenza"", ""trenzar""]}",34,188
1044,PILLOW,,"{""english"": [""cushion"", ""pillow"", ""the pillow""], ""chinese"": [""\u6795\u5934"", ""\u6795\u982d""], ""german"": [""kissen""], ""russian"": [""\u043f\u043e\u0434\u0443\u0448\u043a\u0430""], ""french"": [""oreiller"", ""oreiller ""], ""portuguese"": [""almofada, travesseiro""], ""spanish"": [""almohada""]}",57,320
1046,SHUT,,"{""english"": [""close"", ""close (shut)"", ""close (the door)"", ""close (v)"", ""close (vb.); shut (vb.)"", ""close \u2014 shut"", ""close, shut (tr)"", ""close, shut (tr.)"", ""close, shut (vt)"", ""close, to"", ""na"", ""shut"", ""shut (the door)"", ""shut (to)"", ""shut, close"", ""to close"", ""to shut"", ""to shut, to close"", ""to turn off""], ""chinese"": [""\u5173"", ""\u5173(~\u95e8)"", ""\u5173(\u95e8)"", ""\u5173\u95ed"", ""\u5173\uff08\u95e8\uff09"", ""\u95dc""], ""german"": [""schlie\u00dfen"", ""verschliessen"", ""zumachen""], ""russian"": [""\u0437\u0430\u043a\u0440\u044b\u0432\u0430\u0442\u044c"", ""\u0437\u0430\u043a\u0440\u044b\u0442\u044c""], ""french"": [""fermer"", ""fermer (un carton, une porte)""], ""portuguese"": [""fechar""], ""spanish"": [""cerrar""]}",51,287
1048,LINE,,"{""english"": [""line"", ""line (of wheat)"", ""line (of writing, printing)"", ""line (sb., spatial)"", ""line, row"", ""the line""], ""chinese"": [""\u884c(\u4e00~\u9ea6\u5b50)""], ""german"": [""linie""], ""russian"": [""\u043b\u0438\u043d\u0438\u044f""], ""french"": [""ligne"", ""ligne, rang"", ""trait ""], ""portuguese"": [""linha""], ""spanish"": [""l\u00ednea""]}",49,261
1051,CAN,,"{""english"": [""can"", ""can "", ""the tin/can"", ""tin/can""], ""spanish"": [""lata""]}",17,118
1053,HUNTER,,"{""english"": [""(professional) hunter"", ""be a hunter"", ""hunter""], ""chinese"": [""\u730e\u4eba""], ""french"": [""chasseur"", ""le chasseur""], ""german"": [""j\u00e4ger""]}",24,117
1056,SON-IN-LAW,,"{""english"": [""nephew"", ""nephew, paternal"", ""son in law"", ""son-in-law"", ""son-in-law (doesn't come calling) (note:+married_in)""], ""chinese"": [""\u5973\u5a7f"", ""\u5973\u5a7f ((\u4e0a\u95e8)~)""], ""german"": [""schwiegersohn""], ""french"": [""beau-fils""]}",10,25
1062,LAW,,"{""english"": [""law"", ""law (general)"", ""law (special)"", ""the law""], ""russian"": [""\u0437\u0430\u043a\u043e\u043d"", ""\u0437\u0430\u043a\u043e\u043d\u044a""], ""german"": [""gesetz"", ""ge\u00dfetz"", ""recht""], ""french"": [""loi"", ""loi, droit"", ""loix""], ""portuguese"": [""lei""], ""spanish"": [""ley""]}",53,314
1064,SHIELD,,"{""english"": [""shield"", ""shield (n)"", ""shield (n.)"", ""shield (sb.)"", ""the shield""], ""russian"": [""\u0449\u0438\u0442"", ""\u0449\u0438\u0442\u044a""], ""german"": [""schild""], ""french"": [""bouclier"", ""ecu""], ""portuguese"": [""escudo""], ""spanish"": [""escudo""], ""chinese"": [""\u5c4f\u853d""]}",48,275
1066,CRIME,,"{""english"": [""crime"", ""the crime""], ""chinese"": [""\u72af\u7f6a""], ""french"": [""infraction (criminalit\u00e9)""], ""russian"": [""\u043f\u0440\u0435\u0441\u0442\u0443\u043f\u043b\u0435\u043d\u0438\u0435 (\u043f\u0440\u0435\u0441\u0442\u0443\u043f\u043b\u0435\u043d\u0438e)""], ""spanish"": [""crimen (delito)""], ""german"": [""verbrechen""]}",50,316
1067,JUDGMENT,,"{""english"": [""judgment"", ""the judgment""], ""french"": [""jugement""], ""portuguese"": [""julgamento""], ""russian"": [""\u0440\u0435\u0448\u0435\u043d\u0438\u0435 \u0441\u0443\u0434\u0430""], ""spanish"": [""juicio""]}",32,179
1069,GLUE,,"{""english"": [""glue"", ""glue "", ""glue (n.)"", ""glue / gum"", ""the glue""], ""chinese"": [""\u6f3f\u7cca"", ""\u80f6""], ""german"": [""kleben""], ""russian"": [""\u043a\u043b\u0435\u0438\u0442\u044c"", ""\u043a\u043b\u0435\u0438\u0442\u044c, \u043f\u0440\u0438\u043a\u043b\u0435\u0438\u0442\u044c"", ""\u043a\u043b\u0435\u0439""], ""french"": [""colle"", ""colle ""], ""portuguese"": [""cola""], ""spanish"": [""cola, adhesivo (pegar)"", ""pegameuto"", ""pegar""]}",50,340
1070,BUS,,"{""english"": [""bus"", ""the bus""], ""german"": [""bus""], ""russian"": [""\u0430\u0432\u0442\u043e\u0431\u0443\u0441""], ""spanish"": [""autobus"", ""autob\u00fas""], ""french"": [""autobus"", ""bus""], ""chinese"": [""\u516c\u5171\u6c7d\u8f66""]}",58,422
1071,HOOK,,"{""chinese"": [""\u9264\u5b50"", ""\u94a9"", ""\u94a9\u5b50""], ""english"": [""hook"", ""hook (to pull down branches in plucking fruit) "", ""the hook""], ""german"": [""haken""], ""russian"": [""\u043a\u0440\u044e\u043a"", ""\u043a\u0440\u044e\u0447\u043e\u043a""], ""french"": [""crochet""], ""portuguese"": [""gancho""], ""spanish"": [""gancho""]}",46,268
1072,PRISONER,,"{""english"": [""captive or prisoner"", ""captive, prisoner"", ""captive; prisoner (of war)"", ""prisoner"", ""prisoner, captive"", ""the captive or prisoner""], ""french"": [""prisonnier, captif"", ""prisonnier, captit""], ""portuguese"": [""cativo, prisioneiro""], ""russian"": [""\u043f\u043b\u0435\u043d\u043d\u0438\u043a, \u0437\u0430\u043a\u043b\u044e\u0447\u0435\u043d\u043d\u044b\u0439""], ""spanish"": [""cautivo, preso""], ""chinese"": [""\u72af\u4eba""], ""german"": [""gefangener""]}",33,199
1076,EMERGE (APPEAR),,"{""english"": [""appear"", ""emerge"", ""emerge (appear)"", ""to appear, emerge""], ""german"": [""erscheinen""], ""russian"": [""\u043f\u043e\u044f\u0432\u0438\u0442\u044c\u0441\u044f"", ""\u043f\u043e\u044f\u0432\u043b\u044f\u0442\u044c\u0441\u044f (\u043a\u0430\u0437\u0430\u0442\u044c\u0441\u044f)""], ""chinese"": [""\u51fa"", ""\u51fa\u73b0""], ""french"": [""appara\u00eetre""], ""spanish"": [""aparecer""]}",31,182
1077,WHEAT,,"{""english"": [""the wheat"", ""wheat"", ""wheat "", ""wheat (husked)"", ""wheat, triticum""], ""chinese"": [""\u5c0f\u9ea6"", ""\u9ea5\u5b50"", ""\u9ea6\u5b50""], ""russian"": [""\u043f\u0448\u0435\u043d\u0438\u0446\u0430""], ""german"": [""waitzen""], ""french"": [""bl\u00e9"", ""bl\u00e9 "", ""froment"", ""le bl\u00e9""], ""portuguese"": [""trigo""], ""spanish"": [""trigo""]}",48,266
1081,BILL,,"{""english"": [""account, reckoning"", ""account; reckoning"", ""bill"", ""bill, receipt, tab"", ""the bill""], ""french"": [""compte""], ""portuguese"": [""conta""], ""russian"": [""\u0441\u0447\u0435\u0442""], ""spanish"": [""calcul, cuenta""]}",33,198
1082,MERCHANT,,"{""english"": [""merchant"", ""the merchant""], ""chinese"": [""\u5546\u4eba""], ""french"": [""marchand, commer\u00e7ant""], ""portuguese"": [""negociante""], ""russian"": [""\u043a\u0443\u043f\u0435\u0446, \u0442\u043e\u0440\u0433\u043e\u0432\u0435\u0446""], ""spanish"": [""comerciante""], ""german"": [""kaufmann""]}",38,198
1084,CALL,,"{""english"": [""call"", ""call (=summon)"", ""call (sb.) \u53eb"", ""call (someone)"", ""call (to)"", ""call (tr.)"", ""call (v)"", ""call (vb. = summon)"", ""call (vb.)"", ""call for"", ""na"", ""to call"", ""to call (somebody), to make respond"", ""to call(1)""], ""chinese"": [""(\u4eba)"", ""\u53eb"", ""\u53eb\uff08\u4eba\u8fc7\u6765\uff09"", ""\u547c\u5524""], ""german"": [""rufen""], ""russian"": [""\u0437\u0432\u0430\u0442\u044c"", ""\u0437\u0432\u0430\u0442\u044c, \u0432\u044b\u0437\u044b\u0432\u0430\u0442\u044c"", ""\u0437\u0432\u0430\u0442\u044c, \u043f\u043e\u0437\u0432\u0430\u0442\u044c""], ""french"": [""appeler"", ""appeler, h\u00e9ler"", ""appeler, interpeller""], ""portuguese"": [""chamar""], ""spanish"": [""llamar""]}",45,269
1085,FOLLOW,,"{""english"": [""follow"", ""follows him"", ""to follow"", ""to go after smb.""], ""chinese"": [""\u8ddf"", ""\u8ddf(~\u5728\u540e\u9762)"", ""\u8ddf\u968f""], ""german"": [""folgen""], ""french"": [""suivre""], ""portuguese"": [""seguir""], ""russian"": [""\u0441\u043b\u0435\u0434\u043e\u0432\u0430\u0442\u044c""], ""spanish"": [""seguir""]}",46,294
1086,WORK (ACTIVITY),,"{""english"": [""labor (vb.); toil (vb.); work (vb.)"", ""to do work"", ""to work"", ""to work (in garden, field)"", ""work"", ""work (activity)"", ""work (v)"", ""work / labor"", ""work*""], ""chinese"": [""\u5e72\u6d3b"", ""\u5e72\u6d3b\u513f"", ""\u5e79\u6d3b\u5152""], ""german"": [""arbeiten""], ""russian"": [""\u0440\u0430\u0431\u043e\u0442\u0430\u0442\u044c""], ""spanish"": [""trabajar""]}",31,143
1087,CONCEIVE,,"{""english"": [""conceive"", ""conceive (become pregnant)"", ""conceive (in the womb)"", ""to conceive"", ""to conceive, to become pregnant""], ""french"": [""concevoir""], ""portuguese"": [""conceber""], ""russian"": [""\u0437\u0430\u0447\u0430\u0442\u044c, \u0437\u0430\u0431\u0435\u0440\u0435\u043c\u0435\u043d\u043d\u0435\u0442\u044c""], ""spanish"": [""concebir""], ""chinese"": [""\u6784\u601d""]}",39,244
1088,SINK (DESCEND),,"{""english"": [""sink"", ""sink (descend)"", ""sink (v)"", ""sink (v.)"", ""sink (vb.)"", ""to sink"", ""to sink (tr.)""], ""chinese"": [""\u6c89"", ""\u6c89 (\u4e0b)""], ""german"": [""sinken"", ""versinken""], ""russian"": [""\u043f\u043e\u0433\u0440\u0443\u0436\u0430\u0442\u044c\u0441\u044f \u0432 \u0432\u043e\u0434\u0443, \u0442\u043e\u043d\u0443\u0442\u044c"", ""\u0442\u043e\u043d\u0443\u0442\u044c""], ""french"": [""couler, sombrer""], ""portuguese"": [""afundar""], ""spanish"": [""hundir""]}",50,322
1092,HOPE,,"{""english"": [""hope""], ""french"": [""espoir"", ""esp\u00e9rance""], ""portuguese"": [""esperan\u00e7a""], ""russian"": [""\u043d\u0430\u0434\u0435\u044f\u0442\u044c\u0441\u044f""], ""spanish"": [""esperanza""], ""german"": [""hoffen""]}",51,287
1093,MIDDLE,,"{""english"": [""mid"", ""middle"", ""middle / centre"", ""middle, center"", ""the middle""], ""chinese"": [""\u4e2d"", ""\u4e2d\u9593"", ""\u4e2d\u95f4"", ""\u4e2d\uff08\u4e2d\u95f4\uff09""], ""german"": [""mitte""], ""russian"": [""\u0441\u0435\u0440\u0435\u0434\u0438\u043d\u0430""], ""french"": [""le milieu""]}",34,196
1094,FASTEN,,"{""english"": [""$tie up/fasten"", ""buckle up / fasten (a belt)"", ""fasten"", ""fasten, bind (load)"", ""pick up (food with chopstick) [fasten the belt]"", ""tie up"", ""tie up/fasten"", ""tie, fasten, bind (load)"", ""tighten"", ""tighten (tr)"", ""to fasten"", ""to tie"", ""to tie up, fasten"", ""to tie*""], ""chinese"": [""\u7cfb"", ""\u7cfb(~\u8170\u5e26)"", ""\u7cfb*"", ""\u7cfb\uff08\u8170\u5e26\uff09""], ""french"": [""attacher, lier (un fardeau)"", ""serer""], ""german"": [""festigen""], ""spanish"": [""amarrar""]}",25,139
1095,LET GO OR SET FREE,,"{""english"": [""let go"", ""let go or set free"", ""let go; release"", ""let go; set free; loosen"", ""release"", ""release (v)"", ""release / set free"", ""release, let go"", ""to let go"", ""to release"", ""to set free""], ""chinese"": [""\u653e (\u628a\u9e1f\u653e\u8d70)"", ""\u653e(\u628a\u9e1f\u653e\u8d70)"", ""\u653e\u5f00 (\u653e\u8d70)"", ""\u91ca\u653e""], ""french"": [""lib\u00e9rer"", ""terminer (lib\u00e9rer)""], ""portuguese"": [""largar, soltar""], ""russian"": [""\u043e\u0441\u0432\u043e\u0431\u043e\u0436\u0434\u0430\u0442\u044c (\u0432\u044b\u043f\u0443\u0441\u043a\u0430\u0442\u044c)"", ""\u043e\u0442\u043f\u0443\u0441\u043a\u0430\u0442\u044c""], ""spanish"": [""lanzar"", ""soltar""], ""german"": [""freigeben"", ""freilassen"", ""l\u00f6sen, erl\u00f6sen""]}",45,262
1097,ABANDON,,"{""english"": [""abandon"", ""give up (v)"", ""leave it"", ""to leave it""], ""french"": [""abandoner""]}",20,124
1098,WEIGH,,"{""english"": [""to weigh"", ""to weigh (intr.)"", ""weigh"", ""weigh (food)""], ""chinese"": [""\u79f0"", ""\u79f0(~\u7cae\u98df)"", ""\u79f0\uff08\u7cae\u98df\uff09""], ""french"": [""peser""], ""portuguese"": [""pesar""], ""russian"": [""\u0432\u0437\u0432\u0435\u0448\u0438\u0432\u0430\u0442\u044c"", ""\u0432\u0437\u0432\u0435\u0448\u0438\u0432\u0430\u0442\u044c, \u0432\u0435\u0441\u0438\u0442\u044c""], ""spanish"": [""pesar""], ""german"": [""wiegen"", ""w\u00e4gen""]}",51,359
1100,COOK (SOMETHING),,"{""english"": [""$cook"", ""cook"", ""cook (rice)"", ""cook (something)"", ""cook (tr)"", ""cook (v)"", ""cook (v.)"", ""cook (vb.)"", ""cook (vt)"", ""cook / boil (rice)"", ""cook food "", ""cook*"", ""cook, decoct \u716e,"", ""cook/boil"", ""cook; boil"", ""cooking"", ""steam (yams)"", ""to boil, cook"", ""to cook"", ""to cook (a. general term; if no general term then b. boil food)"", ""to cook (prepare food)"", ""to cook (rice)"", ""to cook rice"", ""to cook/boil""], ""chinese"": [""\u70f9\u996a"", ""\u716e"", ""\u716e(\u996d)"", ""\u716e\uff08\u6d0b\u828b\uff09"", ""\u716e\uff08\u83dc\uff1b\u901a\u79f0\uff09"", ""\u71ac""], ""german"": [""kochen"", ""zubereiten""], ""russian"": [""\u0432\u0430\u0440\u0438\u0442\u044c"", ""\u0433\u043e\u0442\u043e\u0432\u0438\u0442\u044c"", ""\u043f\u0440\u0438\u0433\u043e\u0442\u043e\u0432\u0438\u0442\u044c""], ""french"": [""(faire) cuire, cuisiner"", ""cuire"", ""cuire (pr\u00e9parer"", ""cuisiner""], ""portuguese"": [""cozinhar""], ""spanish"": [""cocinar""]}",55,363
1102,CLIMB,,"{""english"": [""*climb"", ""climb"", ""climb (1st)"", ""climb (a mountain)"", ""climb (to)"", ""climb up (a tree)"", ""to climb"", ""to climb (a tree)"", ""to climb (a. ladder, b. mountain)""], ""chinese"": [""\u6500(\u6811)"", ""\u722c"", ""\u722c(~\u5c71)"", ""\u722c(\u4e0a)"", ""\u722c\u4e0a(\u6811)"", ""\u722c\uff08\u6811\uff09"", ""\u722c\uff08\u722c\u5c71\uff09""], ""german"": [""besteigen"", ""klettern"", ""steigen""], ""russian"": [""\u043b\u0430\u0437\u0430\u0442\u044c"", ""\u043b\u0430\u0437\u0438\u0442\u044c"", ""\u043b\u0435\u0437\u0442\u044c"", ""\u043f\u043e\u0434\u043d\u0438\u043c\u0430\u0442\u044c\u0441\u044f, \u0432\u0437\u0431\u0438\u0440\u0430\u0442\u044c\u0441\u044f""], ""french"": [""grimper""], ""portuguese"": [""trepar""], ""spanish"": [""escalar"", ""subir"", ""trepar""]}",53,334
1103,SACRIFICE,,"{""english"": [""make offerings to the dead"", ""offering"", ""offering; sacrifice (sb.)"", ""sacrifice"", ""sacrifice, offering"", ""the sacrifice"", ""to sacrifice (relig.)""], ""french"": [""sacrifice"", ""sacrifice, offrande""], ""portuguese"": [""sacrif\u00edcio, oferenda""], ""russian"": [""\u0436\u0435\u0440\u0442\u0432\u0430""], ""spanish"": [""ofrenda""], ""german"": [""opfer""]}",35,195
1104,NURSE,,"{""english"": [""child's nurse"", ""nurse"", ""the nurse""], ""chinese"": [""\u4fdd\u59c6"", ""\u62a4\u58eb""], ""french"": [""infirmier""], ""russian"": [""\u043c\u0435\u0434\u0431\u0440\u0430\u0442""], ""spanish"": [""enfermera""]}",51,305
1105,CAMP,,"{""english"": [""camp"", ""camp, encampment"", ""the camp""], ""french"": [""campement""], ""german"": [""lager""], ""chinese"": [""\u8425\u5730""], ""russian"": [""\u043b\u0430\u0433\u0435\u0440\u044c""], ""spanish"": [""campamento""]}",43,219
